attack,config,n,threshold,stampv40_fn,stampv40_fnr,stampv40_ci95_lower,stampv40_ci95_upper,stampv40_ci95_minus,stampv40_ci95_plus,silentcipher_fn,silentcipher_fnr,silentcipher_ci95_lower,silentcipher_ci95_upper,silentcipher_ci95_minus,silentcipher_ci95_plus
echo,0.9,250,32,53,0.212,0.16588878550725972,0.26682831050852335,0.04611121449274028,0.054828310508523354,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
encodec,0.15bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,189,0.756,0.699147815859017,0.8051036543491759,0.05685218414098303,0.04910365434917585
encodec,03bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,187,0.748,0.6907047090119511,0.7977889027522356,0.057295290988048864,0.049788902752235575
encodec,06bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
encodec,12bw,250,32,248,0.992,0.9713048854232084,0.9978034088831621,0.02069511457679163,0.005803408883162109,189,0.756,0.699147815859017,0.8051036543491759,0.05685218414098303,0.04910365434917585
encodec,24bw,250,32,248,0.992,0.9713048854232084,0.9978034088831621,0.02069511457679163,0.005803408883162109,184,0.736,0.6780839247805358,0.7867728993176418,0.05791607521946418,0.05077289931764184
gaussian_noise,05,250,32,202,0.808,0.7546609408206536,0.8520166092735785,0.05333905917934645,0.04401660927357842,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
gaussian_noise,10,250,32,157,0.628,0.5665711761893972,0.6855545589146992,0.06142882381060277,0.05755455891469918,189,0.756,0.699147815859017,0.8051036543491759,0.05685218414098303,0.04910365434917585
gaussian_noise,20,250,32,63,0.252,0.20221109724776432,0.30929529098804887,0.049788902752235686,0.057295290988048864,186,0.744,0.686492019930042,0.7941226626121417,0.05750798006995794,0.05012266261214171
gaussian_noise,30,250,32,41,0.164,0.12325083757520047,0.21491910777654646,0.040749162424799534,0.05091910777654646,189,0.756,0.699147815859017,0.8051036543491759,0.05685218414098303,0.04910365434917585
gaussian_noise,40,250,32,39,0.156,0.11626512943648533,0.20614695747125555,0.03973487056351467,0.050146957471255554,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
highpass,0.06,250,32,39,0.156,0.11626512943648533,0.20614695747125555,0.03973487056351467,0.050146957471255554,190,0.76,0.7033784234651377,0.8087519759650581,0.05662157653486233,0.04875197596505809
highpass,0.07,250,32,39,0.156,0.11626512943648533,0.20614695747125555,0.03973487056351467,0.050146957471255554,176,0.704,0.6446705128026907,0.7571548775194629,0.05932948719730924,0.053154877519462906
highpass,0.08,250,32,42,0.168,0.12675788778063776,0.21929098679311218,0.04124211221936225,0.05129098679311217,192,0.768,0.7118582531392634,0.8160300047349385,0.056141746860736585,0.04803000473493846
highpass,0.09,250,32,38,0.152,0.11278704166232252,0.20174611602341536,0.039212958337677475,0.04974611602341536,188,0.752,0.6949232766848457,0.8014492643013442,0.05707672331515434,0.04944926430134422
highpass,0.1,250,32,42,0.168,0.12675788778063776,0.21929098679311218,0.04124211221936225,0.05129098679311217,182,0.728,0.66969832089097,0.7794006447632017,0.05830167910902995,0.05140064476320172
lowpass,0.1,250,32,50,0.2,0.15512326880286578,0.25395703954690824,0.04487673119713423,0.053957039546908225,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
lowpass,0.2,250,32,38,0.152,0.11278704166232252,0.20174611602341536,0.039212958337677475,0.04974611602341536,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
lowpass,0.3,250,32,38,0.152,0.11278704166232252,0.20174611602341536,0.039212958337677475,0.04974611602341536,170,0.68,0.619825530285745,0.7347262847043906,0.060174469714255,0.05472628470439056
lowpass,0.4,250,32,38,0.152,0.11278704166232252,0.20174611602341536,0.039212958337677475,0.04974611602341536,186,0.744,0.686492019930042,0.7941226626121417,0.05750798006995794,0.05012266261214171
