attack,config,n,threshold,stamp_fn,stamp_fnr,stamp_ci95_lower,stamp_ci95_upper,stamp_ci95_minus,stamp_ci95_plus,stampv2_fn,stampv2_fnr,stampv2_ci95_lower,stampv2_ci95_upper,stampv2_ci95_minus,stampv2_ci95_plus,audioseal_fn,audioseal_fnr,audioseal_ci95_lower,audioseal_ci95_upper,audioseal_ci95_minus,audioseal_ci95_plus,wavmark_fn,wavmark_fnr,wavmark_ci95_lower,wavmark_ci95_upper,wavmark_ci95_minus,wavmark_ci95_plus
echo,0.1,250,14,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949,111,0.444,0.383718776205658,0.5059762146862998,0.06028122379434203,0.061976214686299824,142,0.568,0.5060238561876421,0.6279179405864089,0.06197614381235783,0.05991794058640898,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
echo,0.3,250,14,36,0.144,0.10586196391903242,0.19291333532269944,0.038138036080967566,0.04891333532269945,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
echo,0.5,250,14,35,0.14,0.10241566325298423,0.1884807067667446,0.03758433674701578,0.0484807067667446,128,0.512,0.45032599170719884,0.5733107959588102,0.061674008292801175,0.06131079595881017,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
echo,0.7,250,14,40,0.16,0.11975315933080616,0.21053785679893777,0.040246840669193845,0.05053785679893777,128,0.512,0.45032599170719884,0.5733107959588102,0.061674008292801175,0.06131079595881017,136,0.544,0.48205927010382327,0.6046089513382098,0.06194072989617677,0.06060895133820976,134,0.536,0.47410255177893273,0.5968078112190945,0.0618974482210673,0.06080781121909451
echo,0.9,250,14,39,0.156,0.11626512943648533,0.20614695747125555,0.03973487056351467,0.050146957471255554,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342,142,0.568,0.5060238561876421,0.6279179405864089,0.06197614381235783,0.05991794058640898,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
encodec,0.15bw,250,14,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,126,0.504,0.44243155182424554,0.5654473773977574,0.061568448175754464,0.06144737739775741,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,03bw,250,14,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,124,0.496,0.43455262260224253,0.5575684481757543,0.06144737739775746,0.06156844817575435,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,06bw,250,14,246,0.984,0.9595895595167768,0.9937608763455877,0.02441044048322316,0.009760876345587755,248,0.992,0.9713048854232084,0.9978034088831621,0.02069511457679163,0.005803408883162109,128,0.512,0.45032599170719884,0.5733107959588102,0.061674008292801175,0.06131079595881017,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,12bw,250,14,238,0.952,0.9179869282923764,0.9723320737939639,0.03401307170762358,0.020332073793963956,246,0.984,0.9595895595167768,0.9937608763455877,0.02441044048322316,0.009760876345587755,130,0.52,0.45823595399411676,0.5811586921158984,0.061764046005883255,0.061158692115898416,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,24bw,250,14,240,0.96,0.9279465354073034,0.978130325123043,0.032053464592696534,0.018130325123043023,248,0.992,0.9713048854232084,0.9978034088831621,0.02069511457679163,0.005803408883162109,137,0.548,0.48604350819877906,0.6085036424652572,0.06195649180122098,0.06050364246525719,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,05,250,14,156,0.624,0.562505575124048,0.6817412307580455,0.061494424875952025,0.05774123075804549,227,0.908,0.865737347031913,0.9379134336123944,0.04226265296808707,0.029913433612394402,122,0.488,0.42668920404118976,0.5496740082928011,0.06131079595881023,0.06167400829280112,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,10,250,14,87,0.348,0.29165649607070654,0.4089441934931789,0.05634350392929344,0.06094419349317892,178,0.712,0.6529921633129403,0.7645910854532194,0.05900783668705967,0.052591085453219444,135,0.54,0.47807895390860083,0.6007103383114293,0.0619210460913992,0.060710338311429246,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,20,250,14,31,0.124,0.08874794216937745,0.1706327109623393,0.035252057830622546,0.04663271096233931,115,0.46,0.3992896616885707,0.5219210460913992,0.0607103383114293,0.0619210460913992,125,0.5,0.4384901486556353,0.5615098513443647,0.06150985134436471,0.06150985134436471,195,0.78,0.7246261912502433,0.8268988542899677,0.055373808749756726,0.04689885428996765
gaussian_noise,30,250,14,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,82,0.328,0.2727885097296531,0.3884175337242174,0.05521149027034694,0.060417533724217376,136,0.544,0.48205927010382327,0.6046089513382098,0.06194072989617677,0.06060895133820976,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
gaussian_noise,40,250,14,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986,74,0.296,0.24284512248053705,0.3553294871973093,0.053154877519462934,0.059329487197309294,129,0.516,0.4542790313566007,0.5772366855314113,0.06172096864339932,0.06123668553141126,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
highpass,0.06,250,14,24,0.096,0.06536141854642746,0.13886673003126823,0.03063858145357254,0.04286673003126823,152,0.608,0.5462854973692512,0.66644559162483,0.061714502630748735,0.058445591624829984,124,0.496,0.43455262260224253,0.5575684481757543,0.06144737739775746,0.06156844817575435,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
highpass,0.07,250,14,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712,155,0.62,0.5584442321707381,0.6779236444893522,0.061555767829261865,0.057923644489352166,124,0.496,0.43455262260224253,0.5575684481757543,0.06144737739775746,0.06156844817575435,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
highpass,0.08,250,14,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949,154,0.616,0.5543871213190416,0.6741018261190458,0.06161287868095844,0.058101826119045796,119,0.476,0.4149231875977522,0.5378032370702297,0.06107681240224777,0.06180323707022972,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
highpass,0.09,250,14,25,0.1,0.06865445354100544,0.1434526242586933,0.031345546458994566,0.043452624258693284,143,0.572,0.5100318342948803,0.6317888917011739,0.06196816570511965,0.05978889170117396,143,0.572,0.5100318342948803,0.6317888917011739,0.06196816570511965,0.05978889170117396,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
highpass,0.1,250,14,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,118,0.472,0.4110089576615158,0.5338385377844631,0.06099104233848418,0.06183853778446313,140,0.56,0.4980198439170466,0.6201640944129987,0.06198015608295343,0.06016409441299864,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
lowpass,0.1,250,14,33,0.132,0.09555744444267568,0.17958106713304717,0.03644255555732433,0.04758106713304716,71,0.284,0.2316985698670338,0.34283925214480343,0.052301430132966176,0.058839252144803456,122,0.488,0.42668920404118976,0.5496740082928011,0.06131079595881023,0.06167400829280112,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
