attack,config,n,threshold,stamp_fn,stamp_fnr,stamp_ci95_lower,stamp_ci95_upper,stamp_ci95_minus,stamp_ci95_plus,stampv2_fn,stampv2_fnr,stampv2_ci95_lower,stampv2_ci95_upper,stampv2_ci95_minus,stampv2_ci95_plus,audioseal_fn,audioseal_fnr,audioseal_ci95_lower,audioseal_ci95_upper,audioseal_ci95_minus,audioseal_ci95_plus,wavmark_fn,wavmark_fnr,wavmark_ci95_lower,wavmark_ci95_upper,wavmark_ci95_minus,wavmark_ci95_plus
echo,0.7,250,14,40,0.16,0.11975315933080616,0.21053785679893777,0.040246840669193845,0.05053785679893777,110,0.44,0.37983590558700137,0.5019801560829534,0.06016409441299864,0.06198015608295343,218,0.872,0.8248867899270436,0.9078536277192366,0.047113210072956435,0.035853627719236614,32,0.128,0.09214637228076344,0.17511321007295638,0.03585362771923656,0.04711321007295638
echo,0.9,250,14,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636,114,0.456,0.39539104866179015,0.5179407298961768,0.06060895133820987,0.06194072989617677,216,0.864,0.815963246638718,0.901019312563556,0.04803675336128199,0.03701931256355606,37,0.148,0.10931920870538417,0.1973350197583507,0.038680791294615824,0.049335019758350696
encodec,01.5bw,250,14,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,213,0.852,0.8026649802416493,0.8906807912946159,0.04933501975835064,0.03868079129461588,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,03bw,250,14,247,0.988,0.9653186109241421,0.9959107541602255,0.022681389075857927,0.007910754160225464,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,205,0.82,0.7676470766122656,0.8626672611479753,0.05235292338773434,0.042667261147975366,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,06bw,250,14,244,0.976,0.94863720404899,0.9889553733693685,0.02736279595100999,0.012955373369368473,245,0.98,0.9540437045850131,0.9914278020553485,0.025956295414986896,0.011427802055348546,210,0.84,0.7894621432010622,0.8802468406691939,0.05053785679893774,0.04024684066919393,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,12bw,250,14,229,0.916,0.875004257077684,0.9444043820106295,0.040995742922316,0.028404382010629448,241,0.964,0.9330088524397113,0.980946937312638,0.030991147560288645,0.016946937312638077,207,0.828,0.7763462457575925,0.8697259504466546,0.05165375424240748,0.041725950446654614,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,24bw,250,14,225,0.9,0.8565473757413067,0.9313455464589946,0.04345262425869334,0.031345546458994566,237,0.948,0.9130774345624312,0.9693626383019062,0.034922565437568776,0.02136263830190621,222,0.888,0.8428899288546563,0.9213662056796359,0.04511007114534371,0.033366205679635885,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,05,250,14,164,0.656,0.5951520421031152,0.7121261975550023,0.0608479578968848,0.056126197555002255,195,0.78,0.7246261912502433,0.8268988542899677,0.055373808749756726,0.04689885428996765,212,0.848,0.7982538839765846,0.8872129583376774,0.04974611602341539,0.03921295833767746,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,10,250,14,102,0.408,0.3489166372875682,0.4698679906063625,0.05908336271243175,0.0618679906063625,142,0.568,0.5060238561876421,0.6279179405864089,0.06197614381235783,0.05991794058640898,210,0.84,0.7894621432010622,0.8802468406691939,0.05053785679893774,0.04024684066919393,246,0.984,0.9595895595167768,0.9937608763455877,0.02441044048322316,0.009760876345587755
gaussian_noise,20,250,14,35,0.14,0.10241566325298423,0.1884807067667446,0.03758433674701578,0.0484807067667446,99,0.396,0.3373887778853423,0.45775906234257946,0.058611222114657746,0.06175906234257944,203,0.812,0.7589815771806265,0.8555749021356085,0.05301842281937352,0.04357490213560844,108,0.432,0.372082059413591,0.4939761438123577,0.05991794058640898,0.06197614381235772
gaussian_noise,30,250,14,24,0.096,0.06536141854642746,0.13886673003126823,0.03063858145357254,0.04286673003126823,89,0.356,0.2992352701441643,0.41712327786372716,0.056764729855835694,0.06112327786372718,210,0.84,0.7894621432010622,0.8802468406691939,0.05053785679893774,0.04024684066919393,8,0.032,0.016302169731072406,0.061863111294575085,0.015697830268927595,0.029863111294575084
gaussian_noise,40,250,14,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,208,0.832,0.7807090132068878,0.8732421122193622,0.05129098679311217,0.04124211221936225,4,0.016,0.006239123654412256,0.04041044048322319,0.009760876345587744,0.02441044048322319
highpass,0.06,250,14,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039,212,0.848,0.7982538839765846,0.8872129583376774,0.04974611602341539,0.03921295833767746,5,0.02,0.008572197944651562,0.045956295414986886,0.011427802055348438,0.025956295414986886
highpass,0.07,250,14,27,0.108,0.07529144734526685,0.1525734888984379,0.032708552654733145,0.04457348889843789,127,0.508,0.4463768324746957,0.5693810259693104,0.061623167525304334,0.06138102596931039,196,0.784,0.7288955001859427,0.8305084745762712,0.055104499814057295,0.046508474576271164,7,0.028,0.013627884857773491,0.056658466945870976,0.01437211514222651,0.028658466945870976
highpass,0.08,250,14,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,119,0.476,0.4149231875977522,0.5378032370702297,0.06107681240224777,0.06180323707022972,206,0.824,0.7719923442315464,0.8662009227506975,0.052007655768453565,0.042200922750697534,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864
