attack,config,n,stamp_mean,stamp_ci95,stampv2_mean,stampv2_ci95,audioseal_mean,audioseal_ci95,wavmark_mean,wavmark_ci95
mp3,40,250,0.9725,0.01415870884454435,0.95375,0.016952070693670815,0.92525,0.012816404350750162,0.694,0.03842642228099396
opus,016kbps,250,0.949,0.017341751323203293,0.94025,0.018595981655587308,0.81575,0.023373696995661167,0.6285,0.0331011951154681
opus,032kbps,250,0.96925,0.014535782203136784,0.95775,0.015609520946419425,0.88175,0.01870950428532006,0.69325,0.03839374907811286
opus,064kbps,250,0.97975,0.011872816459573983,0.96375,0.014980210841889705,0.92775,0.01250721605368895,0.695,0.038461236418338256
opus,128kbps,250,0.9835,0.010375621024622398,0.9655,0.014396973075439844,0.9265,0.012805678710201801,0.695,0.038461236418338256
opus,256kbps,250,0.98425,0.00971009868466142,0.966,0.014381828449756759,0.926,0.012798899990384152,0.695,0.038461236418338256
quantization,04,250,0.666,0.02640564549592047,0.549,0.019775925325758083,0.47325,0.01469019016720323,0.499,0.00196
quantization,06,250,0.69725,0.02793393546570926,0.5915,0.02392339803401632,0.48125,0.015184793770327918,0.5,0.0
quantization,08,250,0.76275,0.02794118355678973,0.65775,0.025823817568579224,0.4865,0.015325716424876944,0.5,0.0
quantization,12,250,0.84875,0.02579833923392968,0.74675,0.027732166967962598,0.5045,0.017097941067713975,0.5,0.0
quantization,16,250,0.88525,0.023812804670283176,0.7955,0.027059816055914346,0.50925,0.01710372069012421,0.5,0.0
smooth,06,250,0.9835,0.010305684164790694,0.96325,0.015057767492141376,0.90175,0.015030847811875917,0.695,0.038461236418338256
smooth,10,250,0.98325,0.010357808706711054,0.962,0.015445171793376325,0.881,0.01914012505571984,0.695,0.038461236418338256
smooth,14,250,0.98025,0.01208691929617672,0.961,0.015624185299242333,0.89975,0.016415256996130032,0.682,0.0366697675724194
smooth,18,250,0.98075,0.011590567432772852,0.9605,0.015910756837200737,0.907,0.013856370463062777,0.6625,0.03591230673599792
smooth,22,250,0.97925,0.012798033561926958,0.95625,0.015514595084712018,0.887,0.016156129501892703,0.688,0.03781519953223374
time_stretch,0.7,250,0.53675,0.020365816515163768,0.52175,0.016140753641402553,0.72875,0.028341669161208085,0.68875,0.03736925386648966
time_stretch,0.9,250,0.6435,0.023186125923520845,0.561,0.01650357225538626,0.75725,0.02744957413295006,0.695,0.038461236418338256
time_stretch,1.1,250,0.74375,0.022167757846742353,0.56825,0.015345742590785583,0.897,0.016987045099275486,0.695,0.038461236418338256
time_stretch,1.3,250,0.59,0.020828327752073408,0.5345,0.014971550745560983,0.87575,0.020201809543586472,0.6815,0.036740802329607525
time_stretch,1.5,250,0.536,0.018599481402279343,0.5205,0.015534812260464286,0.848,0.02270945556123154,0.595,0.02785392620115299
