attack,config,n,stamp_mean,stamp_ci95,stampv2_mean,stampv2_ci95,audioseal_mean,audioseal_ci95,wavmark_mean,wavmark_ci95
gaussian_noise,40,250,0.967,0.013268390677269745,0.84875,0.02742877029250557,0.5715,0.027559918687693714,0.992,0.007792627965096862
highpass,0.06,250,0.95875,0.01439928357488245,0.77075,0.03042289787743837,0.581,0.027089162788138155,0.98925,0.00872243336317913
highpass,0.07,250,0.959,0.01497631602788444,0.78325,0.028393268483581154,0.606,0.029050660804406686,0.98375,0.009722206291820952
highpass,0.08,250,0.961,0.014030914862814547,0.802,0.028063204166888178,0.594,0.027215234069576683,0.98,0.010580654089604074
highpass,0.09,250,0.958,0.01491735163893641,0.8185,0.026683900234540443,0.5875,0.027756825565288395,0.9735,0.010050841919619106
highpass,0.1,250,0.9615,0.013509938094204463,0.8355,0.026685923789782066,0.58925,0.027085193579610613,0.94475,0.016117677304337212
lowpass,0.1,250,0.956,0.014876831992076872,0.85,0.02737202423722757,0.58325,0.02619035783976806,0.98025,0.011088347460175948
lowpass,0.2,250,0.968,0.012863978161383289,0.85,0.02737202423722757,0.5835,0.027353417618675855,0.992,0.007792627965096862
lowpass,0.3,250,0.968,0.012863978161383289,0.85,0.02737202423722757,0.5605,0.025254589912461184,0.992,0.007792627965096862
lowpass,0.4,250,0.968,0.012863978161383289,0.85,0.02737202423722757,0.58775,0.02700940003705091,0.992,0.007792627965096862
lowpass,0.5,250,0.968,0.012863978161383289,0.85,0.02737202423722757,0.58075,0.02714067414735107,0.992,0.007792627965096862
mp3,08,250,0.7195,0.02339503616729575,0.8455,0.02746128692392387,0.56725,0.026144812112570373,0.525,0.012803268909896274
mp3,16,250,0.90425,0.022925507627967585,0.83775,0.0277055200812381,0.578,0.02685916382027739,0.7355,0.02839454198358958
mp3,24,250,0.9225,0.020560405665368032,0.831,0.027635388696990223,0.58825,0.028027188757321953,0.71925,0.02889919136318148
mp3,32,250,0.928,0.01952991687161131,0.83275,0.0276818433890096,0.56775,0.02715644404950056,0.71025,0.028628457554114063
mp3,40,250,0.954,0.015853321697213537,0.83725,0.027816669246187743,0.55,0.02681144558687262,0.84675,0.026784116711815017
opus,016kbps,250,0.86375,0.02526964800787235,0.7745,0.028168834754132493,0.57375,0.026471677105068734,0.56775,0.01996336915533369
opus,032kbps,250,0.9265,0.01906794724264237,0.826,0.027922800805422025,0.58625,0.02701254152423266,0.8365,0.02717374843513615
opus,064kbps,250,0.96475,0.013584141607508786,0.85025,0.02668435193428183,0.57075,0.02775093660274041,0.9795,0.011121647114440946
opus,128kbps,250,0.96725,0.013232477828355188,0.855,0.026332436820690613,0.58225,0.02580364618081909,0.99,0.008694696717195836
opus,256kbps,250,0.968,0.012863978161383289,0.8525,0.02687251548242951,0.5805,0.027640482475636052,0.992,0.007792627965096862
quantization,12,250,0.833,0.025583481555762812,0.7055,0.028389107985437572,0.57475,0.026889536408668195,0.50925,0.008060558467702159
quantization,16,250,0.8755,0.024549068934323532,0.7615,0.02924353142355557,0.57675,0.026522188187724262,0.53325,0.014181199174969676
quantization,4,250,0.626,0.025407767556572838,0.55125,0.02037963710260158,0.5815,0.027314260100161546,0.49975,0.00049
quantization,6,250,0.6845,0.026943397876968426,0.581,0.021715082982011896,0.5855,0.026919767270158896,0.5,0.0
quantization,8,250,0.757,0.02664397590842694,0.6375,0.02493884085382739,0.56025,0.027993245520645093,0.5005,0.00098
smooth,06,250,0.96575,0.01342749952051736,0.85,0.027070931667851066,0.56975,0.026493232514668823,0.99075,0.007879075562964707
smooth,10,250,0.967,0.01267367660605475,0.85125,0.027101636200402287,0.5625,0.026621963031727213,0.9595,0.016453599794110072
smooth,14,250,0.9665,0.013285385333283157,0.854,0.0266209488423887,0.6,0.028544652542201666,0.92725,0.018254241615246334
smooth,18,250,0.9675,0.012249016024738362,0.8535,0.026000854975130164,0.57225,0.024758961129758648,0.85725,0.026453166230424246
smooth,22,250,0.96325,0.013717364204645569,0.839,0.026417693383313748,0.57625,0.02851465645120278,0.8385,0.028165205998104514
time_stretch,0.7,250,0.52475,0.017426754911542996,0.51975,0.015955329320792466,0.55825,0.026173784832343203,0.8575,0.024619747518434994
time_stretch,0.9,250,0.619,0.024616300669161036,0.54025,0.014983557641574765,0.533,0.024084723082148467,0.9535,0.016705084284847398
time_stretch,1.1,250,0.68675,0.025994123069196743,0.544,0.015480342814505705,0.56125,0.02601236750186743,0.94975,0.01660216573911114
time_stretch,1.3,250,0.5595,0.01940112152598049,0.51425,0.0164167842044189,0.59975,0.02746081288997675,0.84375,0.02557121031919989
time_stretch,1.5,250,0.52075,0.017117245830427195,0.51825,0.01710484819362357,0.5675,0.026777257628525324,0.66125,0.025288720162750022
