attack,config,n,threshold,stampv40_fn,stampv40_fnr,stampv40_ci95_lower,stampv40_ci95_upper,stampv40_ci95_minus,stampv40_ci95_plus,silentcipher_fn,silentcipher_fnr,silentcipher_ci95_lower,silentcipher_ci95_upper,silentcipher_ci95_minus,silentcipher_ci95_plus
opus,032kbps,250,32,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949,153,0.612,0.550334217662286,0.6702758005537984,0.061665782337714026,0.05827580055379844
opus,064kbps,250,32,11,0.044,0.024743541619069078,0.07705852707258744,0.01925645838093092,0.03305852707258744,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168
opus,128kbps,250,32,13,0.052,0.03063736169809375,0.0869225654375688,0.021362638301906246,0.034922565437568796,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864
opus,256kbps,250,32,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,6,0.024,0.011044626630631514,0.051362795951009954,0.012955373369368486,0.027362795951009954
quantization,04,250,32,223,0.892,0.8474265111015622,0.9247085526547332,0.04457348889843782,0.03270855265473316,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,06,250,32,210,0.84,0.7894621432010622,0.8802468406691939,0.05053785679893774,0.04024684066919393,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,08,250,32,192,0.768,0.7118582531392634,0.8160300047349385,0.056141746860736585,0.04803000473493846,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,12,250,32,143,0.572,0.5100318342948803,0.6317888917011739,0.06196816570511965,0.05978889170117396,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,16,250,32,110,0.44,0.37983590558700137,0.5019801560829534,0.06016409441299864,0.06198015608295343,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
smooth,06,250,32,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,16,0.064,0.039774400710777265,0.10142231409089433,0.024225599289222736,0.03742231409089433
smooth,10,250,32,11,0.044,0.024743541619069078,0.07705852707258744,0.01925645838093092,0.03305852707258744,45,0.18,0.1373327388520246,0.23235292338773436,0.042667261147975394,0.05235292338773437
smooth,14,250,32,12,0.048,0.02766792620603601,0.08201307170762354,0.02033207379396399,0.034013071707623535,72,0.288,0.2354089145467806,0.3470078366870597,0.05259108545321939,0.05900783668705972
smooth,18,250,32,15,0.06,0.036694082794353496,0.0966237027853151,0.023305917205646502,0.0366237027853151,109,0.436,0.37595699605403504,0.49798013639391675,0.06004300394596496,0.06198013639391675
smooth,22,250,32,15,0.06,0.036694082794353496,0.0966237027853151,0.023305917205646502,0.0366237027853151,137,0.548,0.48604350819877906,0.6085036424652572,0.06195649180122098,0.06050364246525719
time_stretch,0.7,250,32,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
time_stretch,0.9,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
time_stretch,1.1,250,32,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
time_stretch,1.3,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651
time_stretch,1.5,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
