attack,config,n,threshold,stampv40_fn,stampv40_fnr,stampv40_ci95_lower,stampv40_ci95_upper,stampv40_ci95_minus,stampv40_ci95_plus,silentcipher_fn,silentcipher_fnr,silentcipher_ci95_lower,silentcipher_ci95_upper,silentcipher_ci95_minus,silentcipher_ci95_plus
echo,0.1,250,32,42,0.168,0.12675788778063776,0.21929098679311218,0.04124211221936225,0.05129098679311217,137,0.548,0.48604350819877906,0.6085036424652572,0.06195649180122098,0.06050364246525719
echo,0.3,250,32,68,0.272,0.22059935523679833,0.33030167910902997,0.05140064476320169,0.05830167910902995,160,0.64,0.5787938053589917,0.6969687174111138,0.061206194641008294,0.056968717411113756
echo,0.5,250,32,51,0.204,0.158704508175768,0.25825472939600896,0.04529549182423198,0.05425472939600898,155,0.62,0.5584442321707381,0.6779236444893522,0.061555767829261865,0.057923644489352166
echo,0.7,250,32,57,0.228,0.1803405041462213,0.2838923087575739,0.04765949585377871,0.055892308757573866,148,0.592,0.5301320093936375,0.6510833627124317,0.0618679906063625,0.05908336271243175
echo,0.9,250,32,63,0.252,0.20221109724776432,0.30929529098804887,0.049788902752235686,0.057295290988048864,124,0.496,0.43455262260224253,0.5575684481757543,0.06144737739775746,0.06156844817575435
encodec,0.15bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,03bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,06bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,12bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
encodec,24bw,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,05,250,32,214,0.856,0.8070866646773006,0.8941380360809675,0.04891333532269937,0.03813803608096755,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,10,250,32,155,0.62,0.5584442321707381,0.6779236444893522,0.061555767829261865,0.057923644489352166,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,20,250,32,48,0.192,0.14798339072642153,0.2453390591793465,0.04401660927357848,0.053339059179346504,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
gaussian_noise,30,250,32,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636,237,0.948,0.9130774345624312,0.9693626383019062,0.034922565437568776,0.02136263830190621
