attack,config,n,stamp_mean,stamp_ci95,stampv2_mean,stampv2_ci95,audioseal_mean,audioseal_ci95,wavmark_mean,wavmark_ci95
quantization,12,250,0.75125,0.02929856161744815,0.59125,0.0236493801764639,0.74175,0.029272813579487668,0.5,0.0
quantization,16,250,0.805,0.028495628495849922,0.64775,0.024851091214233487,0.74075,0.029742075864115928,0.5,0.0
smooth,06,250,0.97,0.01402871553057339,0.89625,0.021232387220194368,0.73525,0.029381446957241653,0.6715,0.03969868440861864
smooth,10,250,0.9705,0.013820136580381597,0.898,0.02108452520719524,0.7415,0.028819385934167475,0.6715,0.03969868440861864
smooth,14,250,0.971,0.013975137763256863,0.89475,0.021714749942383423,0.72175,0.03023404276253952,0.66325,0.03840153392288545
smooth,18,250,0.971,0.013590351290263657,0.8895,0.022427464839264957,0.73925,0.030016707536392153,0.6655,0.03884982752593866
smooth,22,250,0.97325,0.012720192356025803,0.85225,0.02567177023009882,0.7385,0.02979071567724161,0.6715,0.03969868440861864
time_stretch,0.7,250,0.51825,0.018051113516810734,0.51425,0.014297673035038514,0.7305,0.03047127369313478,0.66825,0.038800963227599884
time_stretch,0.9,250,0.5745,0.020985050100270033,0.53175,0.014992950431806356,0.74325,0.029994533779115585,0.6715,0.03969868440861864
time_stretch,1.1,250,0.6735,0.02470310830319451,0.543,0.014628194100797352,0.7405,0.028848012299890237,0.67075,0.039715161343777124
time_stretch,1.3,250,0.52975,0.018267970620799934,0.5265,0.016859070515142228,0.75025,0.02961810032848618,0.66925,0.038889085516236516
time_stretch,1.5,250,0.50975,0.016943650159363288,0.515,0.016072475161944575,0.76925,0.02836370723216215,0.595,0.03045835988274792
